Name,Rating,Directed By,Runtime,Studio,TOMATOMETER score,TOMATOMETER Count,AUDIENCE score,AUDIENCE count
Small Town Crime," R (for strong violence, language and some sexual references)"," Eshom Nelms,  Ian Nelms",   91 minutes    , Saban Films  ,  77%    ,    35  ,  67%    , 635
Porto, NR, Gabe Klinger,   76 minutes    , Salem Street Entertainment  ,  50%    ,    30  ,  41%    , 92
1:54, NR, Yan England,   106 minutes    , Breaking Glass Pictures  ,  57%    ,    7  ,  59%    , 97
Call Me by Your Name," R (for sexual content, nudity and some language)", Luca Guadagnino,   130 minutes    , Sony Pictures Classics  ,  95%    ,    346  ,  86%    ," 15,420"
The Vanishing of Sidney Hall, R (for language and some sexual references), Shawn Christensen,   120 minutes    , Fuzzy Logic Pictures  ,  11%    ,    27  ,  79%    , 457
Song of Granite, NR, Pat Collins,   104 minutes    , Marcie Films Limited  ,  85%    ,    26  ,  50%    , 65
Frank Serpico, NR, Antonino D'Ambrosio,   96 minutes    , IFC Films  ,  75%    ,    8  ,  50%    , 83
The Shape of Water," R (for sexual content, graphic nudity, violence and language)", Guillermo del Toro,   119 minutes    , Fox Searchlight Pictures  ,  92%    ,    434  ,  72%    ," 25,501"
The Divine Order (Die göttliche Ordnung), NR, Petra Biondina Volpe,   96 minutes    , Zodiac Pictures  ,  83%    ,    53  ,  63%    , 113
Imitation Girl, NR, Natasha Kermani,   82 minutes    , Epic Pictures  ,  100%    ,    7  ,  44%    , 95
Kickboxer: Retaliation, R (for sequences of violence), Dimitri Logothetis,   110 minutes    , Well Go USA Entertainment  ,  92%    ,    13  ,  71%    , 451
"I, Tonya"," R (for pervasive language, violence, and some sexual content/nudity)", Craig Gillespie,   119 minutes    , NEON  ,  89%    ,    366  ,  88%    ," 12,188"
Arthur Miller: Writer, NR, Rebecca Miller,   98 minutes    , HBO Documentary Films  ,  91%    ,    11  ,  62%    , 48
Allure, NR," Carlos Sanchez,  Jason Sanchez",   105 minutes    , Samuel Goldwyn Films  ,  45%    ,    29  ,  42%    , 56
Josie, NR, Eric England,   87 minutes    , Screen Media Films  ,  13%    ,    8  ,  30%    , 108
Ricky Gervais: Humanity, NR, John L. Spencer,   78 minutes    , Netflix  ,  47%    ,    15  ,  88%    , 279
Demon House, NR, Zak Bagans,   111 minutes    , Freestyle Digital Media  ,  45%    ,    11  ,  62%    , 353
Juggernaut, NR, Daniel DiMarco,   105 minutes    , Mad Samurai Productions  ,  57%    ,    7  ,  60%    , 18
Take Your Pills, NR, Alison Klayman,   87 minutes    , Netflix  ,  62%    ,    13  ,  52%    , 147
Thor: Ragnarok," PG-13 (for intense sequences of sci-fi violence and action, and brief suggestive material)", Taika Waititi,   130 minutes    , Walt Disney Pictures  ,  93%    ,    410  ,  87%    ," 94,104"
The Star, PG (for some thematic elements), Timothy Reckart,   86 minutes    , Sony Pictures Animation  ,  42%    ,    52  ,  71%    ," 2,963"
Coco, PG (for thematic elements)," Lee Unkrich,  Adrian Molina",   109 minutes    , Disney/Pixar  ,  97%    ,    337  ,  94%    ," 27,404"
Sleeping Giant, NR, Andrew Cividino,   89 minutes    , Film Forge Productions  ,  87%    ,    23  ,  76%    , 389
Murder On The Orient Express, PG-13 (for violence and thematic elements), Kenneth Branagh,   114 minutes    , 20th Century Fox  ,  61%    ,    285  ,  53%    ," 24,805"
"Three Billboards Outside Ebbing, Missouri"," R (for violence, language throughout, and some sexual references)", Martin McDonagh,   115 minutes    , Fox Searchlight Pictures  ,  90%    ,    395  ,  87%    ," 22,602"
The Man From Earth: Holocene, NR, Richard Schenkman,   98 minutes    , Falling Sky Entertainment  ,  50%    ,    6  ,  58%    , 260
Wonder Wheel," PG-13 (for thematic content including some sexuality, language and smoking)", Woody Allen,   101 minutes    , Amazon Studios  ,  31%    ,    192  ,  41%    ," 1,645"
Sami Blood, NR, Amanda Kernell,   110 minutes    , Nordisk Film Production  ,  96%    ,    27  ,  83%    , 243
Darkest Hour, PG-13 (for some thematic material), Joe Wright,   125 minutes    , Focus Features  ,  85%    ,    300  ,  82%    ," 13,883"
Novitiate," R (for language, some sexuality and nudity)", Margaret Betts,   123 minutes    , Maven Pictures  ,  86%    ,    98  ,  70%    ," 1,857"
The Chamber, NR, Ben Parker,   87 minutes    , Cinedigm  ,  33%    ,    15  ,  16%    , 63
The Young Karl Marx (Le jeune Karl Marx), NR, Raoul Peck,   118 minutes    , The Orchard  ,  60%    ,    47  ,  71%    , 392
Dance Academy: The Comeback, NR, Jeffrey Walker,   90 minutes    , Cinedigm  ,  100%    ,    15  ,  84%    , 669
Mute, NR, Duncan Jones,   126 minutes    , Netflix  ,  20%    ,    83  ,  47%    ," 1,484"
The Clapper, R (for language and some sexual references), Dito Montiel,   89 minutes    , Momentum Pictures  ,  23%    ,    26  ,  32%    , 245
My Friend Dahmer," R (for disturbing images, language, teen drug use, drinking and sexual content, and for brief nudity)", Marc Meyers,   107 minutes    , FilmRise  ,  87%    ,    100  ,  61%    ," 5,382"
Hondros, NR, Greg Campbell,   93 minutes    , Entertainment Studios Motion Pictures  ,  100%    ,    10  ,  82%    , 172
The Man Who Invented Christmas, PG (for thematic elements and some mild language), Bharat Nalluri,   104 minutes    , Bleecker Street  ,  79%    ,    168  ,  77%    ," 3,881"
"Faces Places (Visages, villages)", PG (for brief nude images and thematic elements)," JR,  Agnès Varda",   90 minutes    , Cohen Media Group  ,  99%    ,    141  ,  89%    ," 2,363"
Midnighters, NR, Julius Ramsay,   94 minutes    , IFC Films  ,  81%    ,    31  ,  37%    , 208
Scorched Earth, R (for violence and some language), Peter Howitt,   93 minutes    ," Lighthouse Pictures, Inc.  ",  20%    ,    10  ,  42%    , 88
The Lodgers," R (for some violence, sexuality and nudity)", Brian O'Malley,   92 minutes    , Epic Pictures  ,  55%    ,    44  ,  42%    , 268
Ravenous (Les affamés), NR, Robin Aubert,   100 minutes    , Netflix  ,  87%    ,    31  ,  60%    , 414
Let There Be Light, PG-13 (for some thematic material including alcohol and drug issues), Kevin Sorbo,   100 minutes    , Atlas Distribution  ,  30%    ,    10  ,  75%    ," 2,938"
Hangman," R (for violent content, bloody images, and language.)", Johnny Martin,   98 minutes    , Saban Films  ,  5%    ,    22  ,  29%    , 422
Curvature, NR, Diego Hallivis,   89 minutes    , Screen Media Films  ,  47%    ,    17  ,  59%    , 119
Survivors Guide to Prison, NR, Matthew Cooke,   102 minutes    , Gravitas Ventures  ,  100%    ,    13  ,  69%    , 192
The Lullaby, NR, Darrell Roodt,   96 minutes    , Uncork'd Entertainment  ,  67%    ,    12  ,  75%    , 241
Comradeship (Kameradschaft), NR, Georg Wilhelm Pabst,   80 minutes    , Nero-Film  ,  88%    ,    8  ,  79%    , 188
Step Sisters," PG-13 (for crude and sexual content, partying, language and drug references)", Charles Stone III,   108 minutes    , Netflix  ,  22%    ,    9  ,  45%    , 166
Showdown in Manila, NR, Mark Dacascos,   86 minutes    , ITN Distribution / Hollywood Storm  ,  0%    ,    5  ,  22%    , 37
Blade Runner 2049," R (for violence, some sexuality, nudity and language)", Denis Villeneuve,   164 minutes    , Warner Bros. Pictures  ,  87%    ,    426  ,  81%    ," 59,720"
"I, Daniel Blake", R (for language), Ken Loach,   100 minutes    , Sundance Selects  ,  92%    ,    180  ,  85%    ," 8,284"
The Sunshine Makers, NR," Cosmo Feilding-Mellen,  Allison Brownmoore",   90 minutes    , Passion Pictures  ,  100%    ,    9  ,  72%    , 293
Jigsaw," R (for sequences of grisly bloody violence and torture, and for language)"," Michael Spierig,  Peter Spierig",   91 minutes    , Lionsgate  ,  33%    ,    87  ,  89%    ," 29,317"
Aida's Secrets, NR," Alon Schwarz,  Shaul Schwarz",   95 minutes    , Music Box Films  ,  100%    ,    14  ,  76%    , 457
My Entire High School Sinking Into the Sea," PG-13 (for some images of peril, sexual references and drug material)", Dash Shaw,   75 minutes    , GKIDS  ,  84%    ,    70  ,  57%    , 521
Crooked House, PG-13 (for thematic material and some sexual content), Gilles Paquet-Brenner,   115 minutes    , Sony Pictures Worldwide Acquisitions  ,  57%    ,    30  ,  57%    , 530
Girl Flu., NR," Jan 23, 2018",   92 minutes    , Free Chicken Films  ,  83%    ,    6  ,  63%    , 148
Chasing the Dragon, NR," Jason Kwan,  Jing Wong",   128 minutes    , Well Go USA Entertainment  ,  50%    ,    6  ,  73%    , 487
American Folk, PG (for thematic elements and language), David Heinz,   99 minutes    , Good Deed Entertainment  ,  76%    ,    21  ,  61%    , 191
Thank You for Your Service," R (for strong violent content, language throughout, some sexuality, drug material and brief nudity)", Jason Hall,   108 minutes    , Universal Studios  ,  77%    ,    113  ,  73%    ," 6,835"
The Killing of a Sacred Deer," R (for disturbing violent and sexual content, some graphic nudity and language)", Yorgos Lanthimos,   119 minutes    , A24  ,  79%    ,    268  ,  65%    ," 9,888"
9/11, R (for language), Martin Guigui,   94 minutes    , Atlas Distribution  ,  11%    ,    9  ,  43%    , 785
Last Flag Flying, R (for language throughout including some sexual references.), Richard Linklater,   124 minutes    , Amazon Studios  ,  78%    ,    210  ,  71%    ," 4,181"
Blood Honey, NR, Jeff Kopas,   95 minutes    , TriCoast Studios  ,  14%    ,    7  ,  72%    , 650
The Final Year, NR," Jan 19, 2018 limited",   89 minutes    , Magnolia Pictures  ,  84%    ,    104  ,  48%    , 472
Earth: One Amazing Day, G," Richard Dale,  Peter Webber,  Lixin Fan",   95 minutes    , Earth Film Productions  ,  100%    ,    21  ,  84%    , 215
Beyond Skyline," R (for sequences of bloody sci-fi violence, and language throughout)", Liam O'Donnell,   106 minutes    , Vertical Entertainment  ,  63%    ,    19  ,  37%    , 767
The Midnight Man, NR, Travis Zariwny,   93 minutes    , IFC Films  ,  30%    ,    10  ,  32%    , 163
The Open House, NR," Matt Angel,  Suzanne Coote",   94 minutes    , Netflix  ,  15%    ,    13  ,  8%    ," 1,966"
Delirium, NR, Johnny Martin,   88 minutes    , Gravitas Ventures  ,  0%    ,    5  ,  42%    , 70
Old Stone (Lao Shi), NR, Johnny Ma,   80 minutes    , Maktub Films  ,  96%    ,    28  ,  60%    , 143
All I See Is You," R (for strong sexual content/nudity, and language)", Marc Forster,   110 minutes    , Open Road Films  ,  27%    ,    55  ,  30%    ," 1,534"
The Odyssey (L'odyssée)," PG (for thematic material, language, and smoking)", Jérôme Salle,   122 minutes    , Samuel Goldwyn Films  ,  63%    ,    19  ,  53%    , 148
Take Every Wave: The Life of Laird Hamilton, NR, Rory Kennedy,   118 minutes    , IFC Films  ,  76%    ,    21  ,  78%    , 413
Walking Out," PG-13 (for bloody injury images, some thematic elements and brief strong language)"," Andrew J. Smith,  Alex Smith",   95 minutes    , IFC Films  ,  90%    ,    49  ,  57%    , 850
God's Own Country, NR, Francis Lee,   104 minutes    , Samuel Goldwyn Films  ,  98%    ,    123  ,  87%    ," 4,371"
Django, NR, Etienne Comar,   117 minutes    , Under the Milky Way  ,  59%    ,    22  ,  79%    , 126
On Body and Soul (A Teströl és Lélekröl), NR, Ildikó Enyedi,   116 minutes    , Netflix  ,  89%    ,    76  ,  83%    , 35
Tom of Finland, NR, Dome Karukoski,   114 minutes    , Kino Lorber  ,  84%    ,    64  ,  69%    , 802
Suburbicon," R (for violence, language and some sexuality)", George Clooney,   105 minutes    , Paramount Pictures  ,  28%    ,    249  ,  25%    ," 8,275"
Stratton," R (for strong violence, and language)", Simon West,   95 minutes    , SquareOne Entertainment  ,  0%    ,    35  ,  20%    , 180
The Square," R (for language, some strong sexual content, and brief violence)", Ruben Östlund,   142 minutes    , Magnolia Pictures  ,  85%    ,    213  ,  70%    ," 4,019"
Professor Marston & The Wonder Women," R (for strong sexual content including brief graphic images, and language)", Angela Robinson,   108 minutes    , Annapurna Pictures  ,  86%    ,    176  ,  77%    ," 5,302"
Reset, NR, Yoon Hong-Seung,   106 minutes    , Well Go USA Entertainment  ,  50%    ,    8  ,  57%    , 74
The Stray, PG (for thematic elements including a perilous situation), Mitch Davis,   92 minutes    , Pure Flix Entertainment  ,  40%    ,    10  ,  69%    , 902
Napping Princess (Hirune-hime: Shiranai watashi no monogatari), NR, Kenji Kamiyama,   110 minutes    , GKIDS  ,  65%    ,    17  ,  53%    , 134
Victor Crowley, NR, Adam Green,   93 minutes    , Ariescope Pictures  ,  67%    ,    15  ,  48%    , 130
24 Hours to Live," R (for strong bloody violence throughout, language and some drug use)", Brian Smrz,   92 minutes    , Saban Films  ,  52%    ,    21  ,  29%    , 312
Just Charlie, NR, Rebekah Fortune,   95 minutes    , Wolfe Releasing  ,  100%    ,    7  ,  85%    , 74
Batman: Gotham by Gaslight, R, Sam Liu,   72 minutes    , DC Entertainment  ,  73%    ,    11  ,  65%    , 529
Kill Order, NR, James Mark,   77 minutes    , RLJ Entertainment  ,  14%    ,    7  ,  47%    , 37
Day of the Dead: Bloodline," R (for bloody violence and gore, language and brief sexuality/nudity)"," Hèctor Hernández Vicens,  Pearry Reginald Teo",   90 minutes    , Saban Films  ,  13%    ,    8  ,  9%    , 372
Woody Woodpecker," PG (for some action, rude humor and language)", Alex Zamm,   84 minutes    , Universal Pictures Home Entertainment  ,  13%    ,    8  ,  34%    , 198
Living Among Us, NR, Brian A. Metcalf,   81 minutes    , Red Compass Media  ,  14%    ,    7  ,  75%    , 100
Fred Armisen: Standup For Drummers, NR, Lance Bangs,   65 minutes    , Netflix  ,  67%    ,    6  ,  31%    , 55
Dealt, NR, Luke Korem,   86 minutes    , IFC Films  ,  95%    ,    22  ,  84%    , 618
Same Kind of Different As Me, PG-13 (for thematic elements including some violence and language), Michael Carney (XII) ,   119 minutes    , Paramount Pictures / Pure Flix  ,  33%    ,    9  ,  86%    ," 3,199"
LBJ, R (for language), Rob Reiner,   98 minutes    , Electric Entertainment  ,  57%    ,    83  ,  55%    ," 3,112"
Wonder," PG (for thematic elements including bullying, and some mild language)", Stephen Chbosky,   113 minutes    , Lionsgate  ,  85%    ,    186  ,  88%    ," 18,785"
Red Dog: True Blue, NR, Kriv Stenders,   89 minutes    , Village Roadshow  ,  100%    ,    13  ,  67%    , 254
Don't Call Me Son (Mãe Só Há Uma), NR, Anna Muylaert,   82 minutes    , Dezenove Som e Imagem  ,  82%    ,    17  ,  63%    , 126
The Housemaid (Cô Hâu Gái), NR, Derek Nguyen,   105 minutes    , IFC Films  ,  69%    ,    13  ,  37%    , 79
Golden Exits, R (for some language and sexual references)," Feb 9, 2018 limited",   94 minutes    , Sony Pictures and Vertical Entertainment  ,  67%    ,    52  ,  38%    , 238
Mom and Dad," R (for disturbing horror violence, language throughout, some sexual content/nudity and teen drug use)", Brian Taylor,   83 minutes    , Momentum Pictures  ,  75%    ,    131  ,  39%    ," 1,505"
Daddy's Home 2, PG-13 (for suggestive material and some language), Sean Anders,   98 minutes    , Paramount Pictures  ,  21%    ,    126  ,  50%    ," 15,021"
Mad to Be Normal, NR, Robert Mullan,   106 minutes    , Samuel Goldwyn Films  ,  64%    ,    22  ,  65%    , 113
The Ballad of Lefty Brown, R (for violence and some language), Jared Moshe,   111 minutes    , A24 and DIRECTV  ,  77%    ,    26  ,  54%    , 574
Like Me, NR, Robert Mockler,   80 minutes    , Kino Lorber  ,  73%    ,    26  ,  55%    , 320
Blade of the Immortal (Mugen no jûnin), R (for bloody violence and carnage throughout), Takashi Miike,   140 minutes    , Magnolia Pictures  ,  86%    ,    90  ,  68%    ," 2,314"
The Florida Project," R (for language throughout, disturbing behavior, sexual references and some drug material)", Sean Baker (II) ,   115 minutes    , June Pictures  ,  96%    ,    299  ,  80%    ," 13,090"
Entanglement, NR, Jason James (II) ,   85 minutes    , Dark Star Pictures  ,  61%    ,    33  ,  48%    , 128
Becks, NR," Elizabeth Rohrbaugh,  Daniel Powell",   90 minutes    , Irony Point  ,  95%    ,    20  ,  89%    , 199
"Roman J. Israel, Esq.", PG-13 (for language and some violence), Dan Gilroy,   117 minutes    , Sony Pictures  ,  53%    ,    171  ,  53%    ," 4,102"
Still/Born," R (for disturbing images, some violence and language)", Brandon Christensen,   87 minutes    , Vertical Entertainment  ,  68%    ,    22  ,  31%    , 226
The Ritual, NR, David Bruckner,   94 minutes    , Netflix  ,  73%    ,    90  ,  60%    ," 1,925"
Monster Family, PG (for some rude humor and thematic elements), Holger Tappe,   96 minutes    , Viva Pictures  ,  10%    ,    21  ,  23%    , 227
When We First Met, NR, Ari Sandel,   97 minutes    , Netflix  ,  43%    ,    23  ,  57%    , 817
Seeing Allred, NR," Sophie Sartain,  Roberta Grossman",   96 minutes    , Netflix  ,  100%    ,    15  ,  76%    , 141
Bomb City, NR, Jameson Brooks,   95 minutes    , Gravitas Ventures  ,  75%    ,    12  ,  83%    , 527
Hellraiser: Judgment, NR, Gary J. Tunnicliffe,   81 minutes    , Dimension Films  ,  50%    ,    8  ,  26%    , 252
Irreplaceable You, NR, Stephanie Laing,   96 minutes    , Netflix  ,  32%    ,    19  ,  58%    , 204
Traffic Stop, NR," Feb 16, 2018",   31 minutes    , HBO Documentary Films  ,  100%    ,    8  ,  25%    , 50
Chris Rock: Tamborine, NR, Bo Burnham,   64 minutes    , Netflix  ,  100%    ,    23  ,  36%    , 270
Heat and Dust, R, James Ivory,   133 minutes    , Cohen Media  ,  85%    ,    13  ,  56%    , 587
Despicable Me 3, PG (for action and rude humor)," Kyle Balda,  Pierre Coffin,  Eric Guillon",   90 minutes    , Universal Pictures  ,  58%    ,    190  ,  53%    ," 78,563"
Tulip Fever, R (for sexual content and nudity), Justin Chadwick,   107 minutes    , The Weinstein Company  ,  10%    ,    60  ,  43%    ," 5,268"
Logan Lucky, PG-13 (for language and some crude comments), Steven Soderbergh,   119 minutes    , Fingerprint Releasing / Bleecker Street  ,  92%    ,    278  ,  76%    ," 27,525"
Karl Marx City, NR," Michael Tucker,  Petra Epperlein",   89 minutes    , Pepper and Bones  ,  96%    ,    26  ,  71%    , 198
Better Watch Out," R (for disturbing violent content, language throughout, crude sexual references, drug and alcohol use - all involving teens)", Chris Peckover,   99 minutes    , Well Go USA Entertainment  ,  89%    ,    64  ,  65%    ," 4,424"
Kepler's Dream, NR, Amy Glazer,   90 minutes    , Leomark Studios  ,  56%    ,    9  ,  83%    , 17
The Women's Balcony (Ismach Hatani), NR, Emil Ben-Shimon,   96 minutes    , Menemsha Films  ,  96%    ,    47  ,  77%    ," 1,477"
The Osiris Child: Science Fiction Volume One, NR, Shane Abbess,   99 minutes    , Eclectik Vision  ,  63%    ,    19  ,  47%    ," 2,020"
Conor McGregor: Notorious, R (for language throughout and some brutal sports violence), Gavin Fitzgerald,   95 minutes    , Conor McGregor Sports & Entertainment  ,  50%    ,    14  ,  73%    , 312
Gook, NR, Justin Chon,   94 minutes    , Samuel Goldwyn Films  ,  94%    ,    54  ,  84%    ," 1,486"
Crown Heights," R (for language, some sexuality/nudity and violence)", Matt Ruskin,   99 minutes    , Amazon Studios and IFC Films  ,  76%    ,    80  ,  78%    , 837
Boston, NR, Jon Dunham,   114 minutes    , LA Roma Films  ,  100%    ,    8  ,  60%    , 93
The New Radical, NR, Adam Bhala Lough,   117 minutes    , The Orchard  ,  58%    ,    12  ,  67%    , 39
All Saints, PG (for thematic elements), Steve Gomer,   108 minutes    , Sony Pictures / Affirm Films  ,  95%    ,    19  ,  72%    ," 3,008"
The Trip to Spain, NR, Michael Winterbottom,   111 minutes    , IFC Films  ,  83%    ,    104  ,  65%    ," 2,210"
Love and Saucers, NR, Brad Abrahams,   67 minutes    , The Orchard  ,  82%    ,    11  ,  82%    , 77
Santoalla, NR," Andrew Becker (II) ,  Daniel Mehrer",   83 minutes    , Oscilloscope Laboratories  ,  85%    ,    13  ,  85%    , 143
England Is Mine, NR, Mark Gill,   94 minutes    , Honlodge Productions  ,  52%    ,    65  ,  38%    , 466
"Manolo, The Boy Who Made Shoes For Lizards", NR, Michael Roberts,   89 minutes    , Nevision Studios One  ,  68%    ,    31  ,  68%    , 175
Wolf Warrior II, NR, Jing Wu,   120 minutes    , Well Go USA Entertainment  ,  69%    ,    13  ,  76%    ," 1,531"
Voyeur, NR," Myles Kane,  Josh Koury",   95 minutes    , Netflix  ,  82%    ,    28  ,  61%    , 257
Love Beats Rhymes, R (for language and some sexual material), RZA,   106 minutes    , Lionsgate  ,  44%    ,    9  ,  69%    , 78
El Camino Christmas, NR, David E. Talbert,   88 minutes    , Netflix  ,  40%    ,    5  ,  39%    , 225
Judd Apatow: The Return, NR, Marcus Raboy,   69 minutes    , Netflix  ,  86%    ,    7  ,  50%    , 40
American Made, R (for language throughout and some sexuality/nudity), Doug Liman,   115 minutes    , Universal Pictures  ,  86%    ,    261  ,  78%    ," 26,189"
Thank You For Playing, NR," David Osit,  Malika Zouhali-Worrall",   80 minutes    , Kinematic Films  ,  90%    ,    10  ,  69%    , 119
Rebel in the Rye," PG-13 (for thematic elements, language including sexual references, some violence, and smoking throughout)", Danny Strong,   109 minutes    , IFC Films  ,  27%    ,    84  ,  63%    , 830
Battle of the Sexes, PG-13 (for some sexual content and partial nudity)," Jonathan Dayton,  Valerie Faris",   121 minutes    , Fox Searchlight Pictures  ,  85%    ,    303  ,  71%    ," 15,767"
Marshall," PG-13 (for mature thematic content, sexuality, violence and some strong language)", Reginald Hudlin,   118 minutes    , Open Road Films  ,  80%    ,    143  ,  84%    ," 8,605"
Friend Request," R (for horror violence, disturbing images, and language)", Simon Verhoeven,   92 minutes    , Entertainment Studios Motion Pictures  ,  16%    ,    73  ,  29%    ," 5,039"
Una," R (for strong sexual content, nudity and language)", Benedict Andrews,   94 minutes    , Swen Releasing  ,  76%    ,    98  ,  50%    ," 2,116"
The Polka King, NR," Maya Forbes,  Wallace Wolodarsky",   94 minutes    , Netflix  ,  66%    ,    35  ,  50%    , 369
It," R (for violence/horror, bloody images, and for language)", Andy Muschietti,   135 minutes    , Warner Bros. Pictures  ,  86%    ,    369  ,  84%    ," 66,884"
Brad's Status, R (for language), Mike White,   101 minutes    , Amazon Studios  ,  80%    ,    171  ,  54%    ," 4,669"
The Tiger Hunter, NR, Lena Khan,   94 minutes    , Sneaky Sneaky Films  ,  78%    ,    18  ,  80%    , 640
Bad Day for the Cut, NR, Chris Baugh,   99 minutes    , Well Go USA Entertainment  ,  92%    ,    12  ,  73%    , 419
"Polina (Polina, danser sa vie)", NR," Valerie Muller,  Angelin Preljocaj",   112 minutes    , Oscilloscope Laboratories  ,  84%    ,    50  ,  60%    , 415
November Criminals," PG-13 (for mature thematic content including teen sexuality, drug material, brief violence and strong language)", Sacha Gervasi,   85 minutes    , Vertical Entertainment  ,  0%    ,    10  ,  22%    , 771
68 Kill," NR (for strong bloody violence, sexual content and language throughout, some drug use and brief nudity)", Trent Haaga,   93 minutes    , Snowfort Pictures  ,  68%    ,    22  ,  54%    , 506
So B. It, PG-13 (for some thematic elements), Stephen Gyllenhaal,   98 minutes    , Outside The Box Film Partners  ,  45%    ,    11  ,  92%    , 118
Saturday Church, NR, Damon Cardasis,   82 minutes    , Samuel Goldwyn Films  ,  93%    ,    29  ,  79%    , 205
Blame, NR, Quinn Shephard,   100 minutes    , Samuel Goldwyn Films  ,  80%    ,    30  ,  70%    , 417
Abe & Phil's Last Poker Game, R (for sexual content and language), Howard Weiner,   85 minutes    , Gravitas Ventures  ,  73%    ,    11  ,  92%    , 61
Inside, NR, Miguel Ángel Vivas,   100 minutes    , Vertical Entertainment  ,  32%    ,    19  ,  21%    , 91
Trafficked," R (for disturbing violent content including sexual assaults, language, and some drug use)", Will Wallace,   104 minutes    , Epic Pictures  ,  17%    ,    6  ,  63%    , 110
Bullet Head," R (for violence, bloody images, language, some drug use and nudity)", Paul Solet,   93 minutes    , Millennium Media  ,  59%    ,    17  ,  31%    , 234
Gangster Land (In the Absence of Good Men), NR, Timothy Woodward Jr.,   88 minutes    , Status Media & Entertainment  ,  0%    ,    5  ,  32%    , 63
What Lies Upstream, NR, Cullen Hoback,   84 minutes    , Hyrax Films  ,  100%    ,    11  ,  90%    , 913
Tom Segura: Disgraceful, NR, Jay Karas,   71 minutes    , Netflix  ,  100%    ,    5  ,  78%    , 74
Katt Williams: Great America, NR, Katt Williams,   60 minutes    , Netflix  ,  80%    ,    5  ,  62%    , 42
Birth of the Dragon," PG-13 (for martial arts violence, language and thematic elements)", George Nolfi,   91 minutes    , BH Tilt/WWE Studios  ,  24%    ,    51  ,  68%    ," 6,375"
Kirk Cameron's Saving Christmas, PG (for some thematic elements), Darren Doane,   80 minutes    , IPD/Samuel Goldwyn Films  ,  0%    ,    16  ,  30%    ," 22,127"
Valerian and the City of a Thousand Planets," PG-13 (for sci-fi violence and action, suggestive material and brief language)", Luc Besson,   137 minutes    , EuropaCorp / STXfilms  ,  47%    ,    285  ,  53%    ," 27,698"
The Hitman's Bodyguard, R (for strong violence and language throughout), Patrick Hughes,   111 minutes    , Summit Entertainment  ,  43%    ,    218  ,  67%    ," 27,022"
After Love (L'économie du couple), NR, Joachim Lafosse,   100 minutes    , Distrib Films US  ,  88%    ,    48  ,  75%    , 423
The Night Watchmen, NR, Mitchell Altieri,   80 minutes    , Contender Films  ,  83%    ,    6  ,  75%    , 108
Lost in Paris (Paris pieds nus), NR," Dominique Abel,  Fiona Gordon (II) ",   83 minutes    , Oscilloscope Laboratories  ,  86%    ,    58  ,  68%    ," 1,760"
From the Land of the Moon (Mal de pierres), R (for some strong sexuality and graphic nudity), Nicole Garcia,   116 minutes    , IFC Films  ,  32%    ,    56  ,  65%    , 257
My Journey Through French Cinema (Voyage À Travers Le Cinéma Français), NR, Bertrand Tavernier,   195 minutes    , Cohen Media Group  ,  100%    ,    38  ,  62%    , 375
Dark Signal, NR, Edward Evers-Swindell,   105 minutes    , Xlrator Media  ,  33%    ,    6  ,  35%    , 82
Good Time," R (for language throughout, violence, drug use and sexual content)"," Benny Safdie,  Josh Safdie",   100 minutes    , A24  ,  91%    ,    235  ,  81%    ," 8,900"
Woodshock," R (for drug use, language and a scene of violence)"," Kate Mulleavy,  Laura Mulleavy",   101 minutes    , A24 Films  ,  25%    ,    53  ,  26%    ," 1,099"
Leap!," PG (for some impolite humor, and action)"," Eric Summer,  Éric Warin",   89 minutes    , The Weinstein Company  ,  40%    ,    60  ,  62%    ," 7,140"
Beach Rats," R (for strong sexual content, graphic nudity, drug use and language)", Eliza Hittman,   95 minutes    , NEON  ,  85%    ,    102  ,  57%    ," 2,531"
Savage Dog, NR, Jesse V. Johnson,   94 minutes    , Bleiberg Entertainment  ,  73%    ,    11  ,  42%    , 131
M.F.A., NR, Natalia Leite,   95 minutes    , Dark Sky Films  ,  77%    ,    22  ,  87%    , 601
The Villainess (Ak-Nyeo), NR, Jung Byung-gil,   124 minutes    , Next Entertainment World  ,  84%    ,    85  ,  64%    , 870
Nails, NR, Dennis Bartok,   85 minutes    , Dark Sky Films  ,  40%    ,    15  ,  24%    , 91
Jungle, R (for language and some drug use), Greg McLean,   115 minutes    , Momentum Pictures  ,  60%    ,    52  ,  59%    ," 3,213"
California Typewriter, NR, Doug Nichol,   103 minutes    , Gravitas Ventures  ,  100%    ,    37  ,  82%    , 455
Acts of Vengeance, R (for violence and language), Isaac Florentine,   86 minutes    , Saban Films  ,  55%    ,    11  ,  25%    , 192
Rift (Rökkur), NR, Erlingur Thoroddsen,   111 minutes    , Breaking Glass Pictures  ,  92%    ,    13  ,  60%    , 127
Cuba And The Cameraman, NR, Jon Alpert,   113 minutes    , Netflix  ,  100%    ,    7  ,  92%    , 294
Almost Friends, NR, Jake Goldberger,   101 minutes    , Let It Play  ,  29%    ,    7  ,  48%    , 147
Cook Off!, R (for sexual material/references)," Guy Shalem,  Cathryn Michon",   98 minutes    , Lionsgate Premiere  ,  14%    ,    7  ,  66%    , 239
